0,O,0,O
1,B-DAT,11,I-DAT
2,B-CRN,22,I-CRN
3,B-LOC,33,I-LOC
5,B-COU,55,I-COU
6,B-COF,66,I-COF
7,B-PLO,77,I-PLO
8,B-PER,88,I-PER
9,B-THE,99,I-THE
19,B-JOU,190,I-JOU
12,B-TOO,120,I-TOO
13,B-BOO,130,I-BOO
14,B-ORG,140,I-ORG
15,B-FRM,150,I-FRM
16,B-ALG,160,I-ALG
17,B-TER,170,I-TER
18,B-CON,180,I-CON
